"","input_bc","input_low","input_high","costs_low","costs_high","cost_bc","deaths_low","deaths_high","deaths_bc","od_deaths_low","od_deaths_high","od_deaths_bc","group","cost_range","deaths_range","od_deaths_range","name"
"1",999,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BN_PN"
"2",0.00165257,0.00137714,0.001927993,664978657713.085,672976108189.728,669007239604.738,4513433.95227888,4511185.17662242,4512302.26174157,92450.8802593798,93549.1306554765,93003.4367558792,"BN_PN",7997450476.64258,2248.77565645613,1098.25039609667,"p_BN_ACUTE"
"3",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BN_CHRONIC"
"4",5e-04,0.000375,0.000625,652378603273.924,685409709165.126,669007239604.738,4378019.33164601,4644632.75126398,4512302.26174157,92660.7820634267,93342.0988974176,93003.4367558792,"BN_PN",33031105891.2019,266613.419617974,681.316833990903,"p_BN_CANCER"
"5",0.00069143,0.00063313,0.000758046,668930227541.027,669094347823.209,669007239604.738,4514571.81146251,4509723.11850399,4512302.26174157,93013.9719000457,92991.4401775063,93003.4367558792,"BN_PN",164120282.181519,4848.69295852259,22.5317225393519,"p_BN_OTHER"
"6",0.0003077,0.00023,0.000385392,668266229997.219,669737746362.806,669007239604.738,4340459.35114222,4682254.16456566,4512302.26174157,93052.8660513851,92954.2835246959,93003.4367558792,"BN_PN",1471516365.58716,341794.813423439,98.5825266891916,"p_BN_PALLIATIVE"
"7",0.00110106,0.00082594,0.001376186,656488685520.006,681274360104.815,669007239604.738,4513870.17425399,4510758.92418992,4512302.26174157,92232.6882046381,93762.5159084664,93003.4367558792,"BN_PN",24785674584.8091,3111.25006406754,1529.82770382824,"p_BPO_ACUTE"
"8",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BPO_CHRONIC"
"9",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BPO_CANCER"
"10",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BPO_OTHER"
"11",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BPO_PALLIATIVE"
"12",0.00032511,0.0002926,0.005,666816059042.631,933843189191.361,669007239604.738,4512327.6569131,4510369.15723506,4512302.26174157,92629.5364496627,139310.369837429,93003.4367558792,"BN_PN",267027130148.73,1958.49967803992,46680.8333877665,"p_BPO_MISUSE"
"13",2.94e-05,1.33e-05,6.44e-05,668527131785.64,670048303694.555,669007239604.738,4511161.33232651,4514776.47544058,4512302.26174157,92205.8148910101,94732.967224504,93003.4367558792,"BN_PN",1521171908.91467,3615.14311406948,2527.1523334939,"p_BI_ILLICIT"
"14",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BS_DETOX"
"15",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BS_OAT_INI"
"16",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BS_OAT_MAINT"
"17",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BS_OAT_SS"
"18",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BS_SS"
"19",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BO_OD_ILLICIT"
"20",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BO_OD_RX"
"21",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BO_MOD_BI"
"22",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BO_SEVERE_BI"
"23",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BO_SEVERE_BI_OUT"
"24",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BO_OD_DEATH"
"25",0.00032167,0.0002412525,0.0004020875,669895353126.482,668125225427.666,669007239604.738,4331125.80457999,4691410.76114373,4512302.26174157,93054.5997327403,92952.5640847698,93003.4367558792,"BN_PN",1770127698.81665,360284.956563745,102.035647970537,"p_BO_DEATH"
"26",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BR_ILLICIT"
"27",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BR_OAT_INI"
"28",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BR_OAT_MAINT"
"29",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BR_OAT_SS"
"30",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BR_SS"
"31",0,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_PN",0,0,0,"p_BR_OD_ILLICIT"
"32",999,0,0,669007239604.738,669007239604.738,669007239604.738,4512302.26174157,4512302.26174157,4512302.26174157,93003.4367558792,93003.4367558792,93003.4367558792,"BN_ACUTE",0,0,0,"p_BN_PN"
